id_furo,profundidade_m,camada_solo,nspt
SP-01,5.0,Argila Arenosa,12
SP-02,5.0,Argila Arenosa,15
SP-03,5.0,Argila Arenosa,18
SP-04,5.0,Argila Arenosa,21
SP-05,5.0,Argila Arenosa,14
SP-06,5.0,Argila Arenosa,16
SP-07,5.0,Argila Arenosa,19
SP-08,5.0,Argila Arenosa,22
SP-09,5.0,Argila Arenosa,13
SP-10,5.0,Argila Arenosa,17
SP-11,5.0,Argila Arenosa,20
SP-12,5.0,Argila Arenosa,23
SP-13,5.0,Argila Arenosa,11
SP-14,5.0,Argila Arenosa,15
SP-15,5.0,Argila Arenosa,18
SP-16,5.0,Argila Arenosa,21
SP-17,5.0,Argila Arenosa,25
SP-18,5.0,Argila Arenosa,14
SP-19,5.0,Argila Arenosa,17
SP-20,5.0,Argila Arenosa,20
SP-21,5.0,Argila Arenosa,16
SP-22,5.0,Argila Arenosa,19
SP-23,5.0,Argila Arenosa,22
SP-24,5.0,Argila Arenosa,13
SP-25,5.0,Argila Arenosa,16
SP-26,5.0,Argila Arenosa,19
SP-27,5.0,Argila Arenosa,24
SP-28,5.0,Argila Arenosa,15
SP-29,5.0,Argila Arenosa,18
SP-30,5.0,Argila Arenosa,21
SP-31,5.0,Argila Arenosa,17
SP-32,5.0,Argila Arenosa,20
SP-33,5.0,Argila Arenosa,26
SP-34,5.0,Argila Arenosa,14
SP-35,5.0,Argila Arenosa,17
SP-36,5.0,Argila Arenosa,20
SP-37,5.0,Argila Arenosa,23
SP-38,5.0,Argila Arenosa,16
SP-39,5.0,Argila Arenosa,18
SP-40,5.0,Argila Arenosa,21
SP-41,5.0,Argila Arenosa,12
SP-42,5.0,Argila Arenosa,15
SP-43,5.0,Argila Arenosa,17
SP-44,5.0,Argila Arenosa,20
SP-45,5.0,Argila Arenosa,22
SP-46,5.0,Argila Arenosa,14
SP-47,5.0,Argila Arenosa,17
SP-48,5.0,Argila Arenosa,20
SP-49,5.0,Argila Arenosa,23
SP-50,5.0,Argila Arenosa,27
